State,Year,Count
Australian Capital Territory,1989,32
Australian Capital Territory,1990,26
Australian Capital Territory,1991,17
Australian Capital Territory,1992,20
Australian Capital Territory,1993,12
Australian Capital Territory,1994,17
Australian Capital Territory,1995,15
Australian Capital Territory,1996,23
Australian Capital Territory,1997,17
Australian Capital Territory,1998,22
Australian Capital Territory,1999,19
Australian Capital Territory,2000,18
Australian Capital Territory,2001,16
Australian Capital Territory,2002,10
Australian Capital Territory,2003,11
Australian Capital Territory,2004,9
Australian Capital Territory,2005,26
Australian Capital Territory,2006,13
Australian Capital Territory,2007,14
Australian Capital Territory,2008,14
Australian Capital Territory,2009,12
Australian Capital Territory,2010,19
Australian Capital Territory,2011,6
Australian Capital Territory,2012,12
Australian Capital Territory,2013,7
Australian Capital Territory,2014,10
Australian Capital Territory,2015,15
Australian Capital Territory,2016,10
Australian Capital Territory,2017,5
Australian Capital Territory,2018,9
Australian Capital Territory,2019,6
Australian Capital Territory,2020,7
Australian Capital Territory,2021,9
New South Wales,1989,959
New South Wales,1990,797
New South Wales,1991,663
New South Wales,1992,649
New South Wales,1993,581
New South Wales,1994,646
New South Wales,1995,620
New South Wales,1996,581
New South Wales,1997,576
New South Wales,1998,556
New South Wales,1999,577
New South Wales,2000,603
New South Wales,2001,524
New South Wales,2002,561
New South Wales,2003,539
New South Wales,2004,510
New South Wales,2005,508
New South Wales,2006,496
New South Wales,2007,435
New South Wales,2008,374
New South Wales,2009,454
New South Wales,2010,405
New South Wales,2011,364
New South Wales,2012,369
New South Wales,2013,333
New South Wales,2014,307
New South Wales,2015,350
New South Wales,2016,380
New South Wales,2017,389
New South Wales,2018,347
New South Wales,2019,353
New South Wales,2020,284
New South Wales,2021,203
Northern Territory,1989,61
Northern Territory,1990,68
Northern Territory,1991,67
Northern Territory,1992,54
Northern Territory,1993,44
Northern Territory,1994,41
Northern Territory,1995,61
Northern Territory,1996,72
Northern Territory,1997,60
Northern Territory,1998,69
Northern Territory,1999,49
Northern Territory,2000,51
Northern Territory,2001,50
Northern Territory,2002,55
Northern Territory,2003,53
Northern Territory,2004,35
Northern Territory,2005,55
