State,Year,Count
Victoria,2021,174
New South Wales,2021,203
Northern Territory,2021,26
Western Australia,2021,123
Queensland,2021,207
Australian Capital Territory,2021,9
Tasmania,2021,29
South Australia,2021,72
Victoria,2020,211
New South Wales,2020,284
Northern Territory,2020,31
Western Australia,2020,154
Queensland,2020,277
Australian Capital Territory,2020,7
Tasmania,2020,36
South Australia,2020,93
Victoria,2019,267
New South Wales,2019,353
Northern Territory,2019,36
Western Australia,2019,163
Queensland,2019,219
Australian Capital Territory,2019,6
Tasmania,2019,29
South Australia,2019,114
